1	6	2	0	4	8	2	,	第	五	人	格
5	0	8	8	6	0	,	抖	音	短	视	频	 	-	 	好	玩	的	人	都	在	这
1	4	9	9	3	2	6	,	绝	地	求	生	:	刺	激	战	场
9	3	9	7	,	拼	多	多	 	-	 	3	亿	人	都	在	拼
1	9	8	1	,	京	东	-	挑	好	物	，	上	京	东
1	6	1	3	4	6	4	,	热	血	·	三	国	游	戏	-	国	战	三	国	烧	脑	策	略	游	戏
1	6	1	5	8	3	5	,	激	情	修	仙	之	旅	-	轻	松	悠	闲	修	真	路
1	5	9	3	1	5	4	,	御	剑	飞	仙	-	自	由	交	易	爽	爆	P	K
9	8	1	1	,	无	他	相	机
1	4	5	1	,	优	酷	视	频	-	这	！	就	是	街	舞	全	网	独	播
1	0	9	,	微	信
1	7	4	4	,	淘	宝	 	-	 	移	动	购	物	，	生	活	社	区
4	3	8	,	腾	讯	视	频	-	三	国	机	密	全	网	独	播
5	7	2	8	,	铃	声	多	多	-	手	机	铃	声	大	全
1	4	9	9	3	2	5	,	绝	地	求	生	 	全	军	出	击
8	5	5	1	,	转	转	二	手	交	易	网	-	一	个	帮	你	赚	钱	的	网	站
5	3	5	,	Q	Q
1	7	9	1	,	爱	奇	艺	-	热	血	街	舞	团	全	网	独	播
2	4	7	8	,	高	德	地	图	-	精	准	地	图	,	旅	游	导	航	必	备
1	8	2	,	百	度
5	3	9	8	,	小	红	书	 	-	 	标	记	我	的	生	活
2	6	8	8	,	5	8	同	城	-	招	聘	找	工	作	求	职	租	房	二	手	房
4	0	5	5	,	网	易	云	音	乐	-	音	乐	的	力	量
1	4	3	0	,	支	付	宝	 	-	 	让	生	活	更	简	单
6	7	9	9	,	全	民	K	歌
1	1	0	4	,	Q	Q	音	乐	 	-	《	歌	手	》	官	方	指	定	音	乐	A	p	p
2	2	5	2	,	快	手
3	1	1	3	,	内	涵	段	子	-	精	选	搞	笑	图	片	、	视	频
1	5	1	9	,	微	博
3	5	8	3	,	滴	滴	出	行	-	滴	滴	一	下	，	美	好	出	行
